[3, 1, 7, 2, 0, 9, 7, 6, 8, 3]
[1, 3, 7, 2, 0, 9, 7, 6, 8, 3]
[1, 3, 2, 7, 0, 9, 7, 6, 8, 3]
[1, 3, 2, 0, 7, 9, 7, 6, 8, 3]
[1, 3, 2, 0, 7, 7, 9, 6, 8, 3]
[1, 3, 2, 0, 7, 7, 6, 9, 8, 3]
[1, 3, 2, 0, 7, 7, 6, 8, 9, 3]
[1, 3, 2, 0, 7, 7, 6, 8, 3, 9]
[1, 2, 3, 0, 7, 7, 6, 8, 3, 9]
[1, 2, 0, 3, 7, 7, 6, 8, 3, 9]
[1, 2, 0, 3, 7, 6, 7, 8, 3, 9]
[1, 2, 0, 3, 7, 6, 7, 3, 8, 9]
[1, 0, 2, 3, 7, 6, 7, 3, 8, 9]
[1, 0, 2, 3, 6, 7, 7, 3, 8, 9]
[1, 0, 2, 3, 6, 7, 3, 7, 8, 9]
[0, 1, 2, 3, 6, 7, 3, 7, 8, 9]
[0, 1, 2, 3, 6, 3, 7, 7, 8, 9]
[0, 1, 2, 3, 3, 6, 7, 7, 8, 9]
